Название,Описание,Цена
Футболка,Хлопковая футболка с круглым вырезом,1200
Джинсы,Классические синие джинсы,3500
Куртка,Теплая зимняя куртка с капюшоном,7500
Шорты,Легкие летние шорты,1800
Рубашка,Классическая рубашка в клетку,2500
Платье,Элегантное вечернее платье,5800
Толстовка,Худи с карманом и капюшоном,3200
Брюки,Деловые брюки для офиса,4000
Юбка,Летняя юбка с цветочным принтом,2700
Свитер,Теплый шерстяной свитер,3800
Пиджак,Классический черный пиджак,8200
Шарф,Шерстяной шарф с узором,1500
Перчатки,Кожаные перчатки,2300
Кепка,Бейсболка с регулируемым ремешком,1200
Носки,Комплект хлопковых носков (5 пар),900
Пальто,Длинное осеннее пальто,9500
Туфли,Кожаные классические туфли,6700
Кроссовки,Спортивные кроссовки с амортизацией,5400
Блузка,Офисная блузка с длинным рукавом,3200
Леггинсы,Эластичные спортивные леггинсы,2200
Пижама,Хлопковая пижама с принтом,2800
Купальник,Раздельный купальник с высокой посадкой,3100
Шлепанцы,Резиновые пляжные шлепанцы,1300
Сандалии,Кожаные сандалии на ремешке,3600
Ремень,Кожаный ремень с металлической пряжкой,1800
Колготки,Прочные матовые колготки 80DEN,1400
Шапка,Трикотажная зимняя шапка,1700
Ветровка,Легкая ветровка на молнии,4200
Дождевик,Прозрачный дождевик с капюшоном,2500
Галстук,Шелковый галстук классического кроя,3100
Бейсболка,Кепка с логотипом бренда,1500
Ботинки,Зимние ботинки на меху,7900
Поло,Футболка-поло с воротником,2700
Кардиган,Вязаный кардиган с пуговицами,3800